id,plot_id,agent_id,visited_at,outcome,notes
39,210,24,2024-04-28 13:30:00,rescheduled,"Heavy rain, rescheduled"
40,419,19,2024-12-13 17:45:00,completed,
41,66,15,2026-06-08 08:00:00,completed,
42,35,23,2026-03-01 11:45:00,completed,Recommended fertiliser top-up
43,146,9,2026-04-30 08:45:00,rescheduled,"Heavy rain, rescheduled"
44,45,21,2026-01-26 15:00:00,completed,Advised on irrigation schedule
45,58,7,2026-02-12 18:00:00,completed,Discussed input costs
46,225,25,2024-12-16 07:15:00,farmer_absent,Could not reach farmer by phone
47,23,9,2025-09-04 09:30:00,completed,Crop looks healthy
48,201,24,2025-03-20 10:15:00,completed,Discussed input costs
49,337,13,2024-03-10 08:15:00,completed,Recommended fertiliser top-up
50,286,7,2026-06-22 17:00:00,completed,Crop looks healthy
51,317,24,2025-08-05 09:00:00,completed,Crop looks healthy
52,196,7,2024-05-08 16:00:00,rescheduled,Farmer requested a later date
53,289,13,2024-10-24 16:45:00,completed,
54,231,8,2024-09-19 16:30:00,completed,
55,246,5,2025-05-11 12:15:00,completed,Pest damage observed on eastern edge
56,199,6,2025-08-08 07:45:00,rescheduled,"Heavy rain, rescheduled"
57,22,8,2025-07-04 17:30:00,completed,
58,216,15,2024-07-29 14:45:00,completed,Discussed input costs
59,167,8,2024-08-09 10:15:00,completed,Soil sample collected
60,292,7,2024-03-08 17:30:00,cancelled,
61,192,3,2025-07-13 14:00:00,completed,
62,154,25,2024-03-12 13:00:00,completed,Discussed input costs
63,283,22,2025-07-22 13:15:00,partial,Only half the plot surveyed
64,356,8,2025-11-13 17:15:00,completed,Soil sample collected
65,78,20,2025-12-11 09:45:00,completed,Crop looks healthy
66,347,13,2026-05-24 07:00:00,completed,Advised on irrigation schedule
67,161,12,2026-01-24 09:15:00,completed,Advised on irrigation schedule
68,186,17,2024-12-30 14:30:00,farmer_absent,Could not reach farmer by phone
69,156,15,2026-03-17 13:00:00,completed,
70,82,25,2024-09-02 18:15:00,partial,Ran out of daylight
71,228,5,2026-04-03 14:45:00,completed,Crop looks healthy
72,301,5,2025-05-25 16:15:00,completed,Crop looks healthy
73,252,19,2025-09-01 08:30:00,completed,Pest damage observed on eastern edge
74,320,17,2026-03-19 17:15:00,partial,Sensor check pending
75,150,7,2025-08-21 14:00:00,completed,
76,87,5,2026-02-04 11:00:00,completed,Pest damage observed on eastern edge
77,27,10,2025-11-23 13:30:00,completed,
78,338,24,2026-04-08 07:00:00,completed,Soil sample collected
79,241,24,2024-09-07 11:45:00,completed,
80,209,9,2025-08-30 11:15:00,completed,Recommended fertiliser top-up
81,43,22,2026-05-25 17:30:00,rescheduled,Farmer requested a later date
82,12,25,2026-05-02 08:15:00,completed,Pest damage observed on eastern edge
83,293,25,2026-05-22 07:00:00,farmer_absent,Could not reach farmer by phone
84,446,20,2026-06-08 16:45:00,completed,Discussed input costs
85,403,6,2026-06-23 09:15:00,cancelled,Farmer withdrew from programme
86,96,14,2026-08-16 17:15:00,completed,Advised on irrigation schedule
87,199,13,2025-04-19 18:45:00,completed,Pest damage observed on eastern edge
88,241,24,2025-05-23 15:00:00,completed,Soil sample collected
89,135,11,2024-09-02 18:00:00,completed,Discussed input costs
90,388,6,2025-07-11 16:30:00,completed,Recommended fertiliser top-up
91,112,5,2024-07-27 15:00:00,completed,Recommended fertiliser top-up
92,145,1,2026-06-17 14:30:00,cancelled,Farmer withdrew from programme
93,318,18,2026-05-30 18:45:00,completed,Advised on irrigation schedule
94,164,24,2024-09-04 16:00:00,completed,Discussed input costs
95,231,21,2025-08-05 11:45:00,completed,Soil sample collected
96,117,6,2024-09-11 13:45:00,rescheduled,"Plot inaccessible, will revisit"
97,408,13,2025-05-02 14:15:00,completed,
98,215,5,2024-06-03 13:15:00,completed,Crop looks healthy
99,223,8,2026-03-18 09:15:00,completed,
100,242,5,2025-11-15 10:00:00,completed,Pest damage observed on eastern edge
101,156,18,2025-11-08 10:45:00,completed,
102,222,24,2025-04-07 07:30:00,partial,Only half the plot surveyed
103,166,24,2026-03-28 15:45:00,rescheduled,
104,252,7,2024-11-11 12:30:00,completed,
105,314,11,2025-02-23 12:30:00,rescheduled,"Heavy rain, rescheduled"
106,190,25,2026-06-16 14:30:00,completed,Soil sample collected
107,168,24,2024-11-08 11:30:00,completed,Discussed input costs
108,358,7,2026-04-11 17:15:00,farmer_absent,"Nobody at site, left advisory note"
109,417,16,2025-01-20 07:30:00,completed,Advised on irrigation schedule
110,197,19,2026-05-28 14:45:00,completed,Recommended fertiliser top-up
111,35,15,2024-05-31 11:15:00,completed,Crop looks healthy
112,243,6,2025-09-18 16:45:00,completed,Recommended fertiliser top-up
113,164,24,2024-12-08 10:15:00,partial,
114,310,22,2026-06-18 10:30:00,completed,
115,217,23,2024-05-03 11:30:00,completed,Recommended fertiliser top-up
116,13,1,2024-10-21 13:00:00,completed,Pest damage observed on eastern edge
117,229,24,2024-12-19 12:00:00,partial,Farmer left midway
118,142,17,2025-11-01 16:15:00,completed,Crop looks healthy
119,64,23,2025-01-31 12:15:00,completed,
120,282,12,2024-10-27 13:15:00,completed,Crop looks healthy
121,330,11,2025-03-14 18:15:00,completed,Advised on irrigation schedule
122,72,5,2024-08-19 08:30:00,partial,Sensor check pending
123,42,16,2025-04-02 15:00:00,completed,
124,356,8,2024-05-08 14:15:00,completed,Recommended fertiliser top-up
125,117,6,2026-06-27 18:15:00,completed,Crop looks healthy
126,113,2,2024-03-11 15:30:00,completed,
127,10,17,2024-06-27 14:00:00,completed,
128,282,9,2024-12-24 10:15:00,completed,Crop looks healthy
129,179,7,2025-03-16 13:15:00,completed,Crop looks healthy
130,322,18,2025-11-20 12:45:00,completed,Soil sample collected
131,387,19,2026-01-31 11:45:00,completed,Recommended fertiliser top-up
132,232,17,2026-01-22 08:00:00,completed,Advised on irrigation schedule
133,381,7,2026-01-27 16:30:00,rescheduled,"Heavy rain, rescheduled"
134,304,10,2025-08-15 07:15:00,completed,Recommended fertiliser top-up
135,112,5,2026-08-07 09:30:00,completed,
136,369,24,2024-12-11 09:45:00,completed,Recommended fertiliser top-up
137,408,8,2026-06-01 08:00:00,rescheduled,Farmer requested a later date
138,439,17,2026-08-19 14:45:00,farmer_absent,"Nobody at site, left advisory note"
139,50,16,2024-10-27 13:30:00,completed,
140,335,8,2026-04-19 09:30:00,completed,Soil sample collected
141,62,24,2024-09-20 07:45:00,completed,Advised on irrigation schedule
142,45,21,2024-03-12 18:30:00,completed,
143,33,8,2026-01-11 13:45:00,completed,
144,222,14,2026-02-21 16:00:00,completed,Recommended fertiliser top-up
145,364,10,2024-08-13 10:30:00,completed,Recommended fertiliser top-up
146,447,17,2024-05-12 17:00:00,rescheduled,
147,287,16,2024-05-31 18:00:00,completed,Advised on irrigation schedule
148,307,25,2025-02-08 12:30:00,farmer_absent,"Nobody at site, left advisory note"
149,165,24,2025-06-29 16:45:00,completed,Discussed input costs
150,393,5,2024-09-27 13:30:00,partial,Only half the plot surveyed
151,309,24,2025-09-13 17:45:00,completed,Pest damage observed on eastern edge
152,22,8,2024-12-14 15:15:00,rescheduled,"Heavy rain, rescheduled"
153,418,19,2026-05-28 08:00:00,completed,Crop looks healthy
154,131,22,2026-03-04 10:30:00,completed,Discussed input costs
155,375,12,2025-02-04 15:45:00,completed,Discussed input costs
156,384,8,2025-12-31 17:45:00,completed,Soil sample collected
157,367,2,2025-03-30 08:30:00,completed,
158,156,18,2024-11-04 10:00:00,completed,Recommended fertiliser top-up
159,62,1,2026-06-12 14:00:00,completed,Discussed input costs
160,339,17,2025-09-02 12:15:00,completed,
161,326,20,2024-12-20 17:45:00,partial,Farmer left midway
162,164,24,2024-09-01 13:00:00,completed,Discussed input costs
163,351,8,2025-07-26 14:00:00,completed,Advised on irrigation schedule
164,43,2,2025-05-11 18:30:00,completed,
165,18,17,2026-01-10 13:00:00,completed,Pest damage observed on eastern edge
166,304,22,2024-06-11 15:45:00,completed,Pest damage observed on eastern edge
167,238,9,2024-09-05 13:00:00,completed,Advised on irrigation schedule
168,358,17,2025-04-04 14:30:00,rescheduled,Farmer requested a later date
169,149,20,2026-04-29 09:00:00,completed,
170,128,5,2024-06-19 07:30:00,completed,Discussed input costs
171,444,7,2025-12-28 14:00:00,completed,Pest damage observed on eastern edge
172,68,7,2025-05-28 12:45:00,completed,Discussed input costs
173,326,18,2026-05-03 14:00:00,completed,
174,35,23,2024-03-04 12:45:00,completed,Soil sample collected
175,449,13,2026-03-07 16:15:00,completed,
176,338,12,2025-01-26 14:00:00,partial,Ran out of daylight
177,299,11,2025-12-25 09:30:00,completed,
178,6,8,2026-04-26 17:30:00,completed,Crop looks healthy
179,156,5,2025-09-26 14:15:00,completed,
180,245,16,2026-01-12 09:45:00,completed,Advised on irrigation schedule
181,75,11,2024-03-21 08:45:00,completed,Advised on irrigation schedule
182,290,6,2025-12-10 13:30:00,partial,Sensor check pending
183,209,12,2026-07-07 13:00:00,completed,Discussed input costs
184,201,24,2024-07-14 14:45:00,completed,Pest damage observed on eastern edge
185,124,20,2025-03-04 14:00:00,completed,Crop looks healthy
186,214,2,2024-08-28 09:00:00,completed,
187,144,15,2024-10-23 12:30:00,rescheduled,"Plot inaccessible, will revisit"
188,158,16,2025-03-14 13:15:00,completed,Advised on irrigation schedule
189,355,21,2025-02-20 16:00:00,completed,Recommended fertiliser top-up
190,139,20,2025-03-12 12:30:00,cancelled,Plot no longer under cultivation
191,179,7,2024-04-26 15:45:00,completed,
192,343,9,2024-05-20 18:30:00,completed,Discussed input costs
193,365,18,2026-01-22 14:15:00,completed,Recommended fertiliser top-up
194,327,7,2026-02-13 14:30:00,completed,
195,368,12,2025-02-15 09:30:00,completed,Recommended fertiliser top-up
196,64,18,2025-07-13 08:15:00,rescheduled,"Plot inaccessible, will revisit"
197,254,2,2025-03-14 13:15:00,completed,
198,322,20,2026-05-01 13:45:00,completed,Pest damage observed on eastern edge
199,93,6,2026-07-08 11:00:00,completed,Recommended fertiliser top-up
200,66,25,2026-01-22 17:00:00,completed,Discussed input costs
201,320,17,2025-06-05 10:15:00,completed,Recommended fertiliser top-up
202,283,24,2026-03-17 15:30:00,farmer_absent,"Nobody at site, left advisory note"
203,413,13,2026-01-23 16:00:00,partial,Only half the plot surveyed
204,293,4,2024-05-13 08:00:00,completed,
205,114,24,2026-02-23 11:00:00,completed,Recommended fertiliser top-up
206,223,21,2025-05-20 10:00:00,rescheduled,
207,365,16,2024-07-24 16:45:00,completed,Recommended fertiliser top-up
208,106,22,2025-04-03 15:30:00,completed,
209,260,17,2024-12-06 12:15:00,farmer_absent,
210,87,5,2026-01-08 12:45:00,completed,Recommended fertiliser top-up
211,119,18,2026-07-26 16:15:00,completed,Advised on irrigation schedule
212,232,11,2025-07-17 12:30:00,completed,
213,224,17,2026-05-20 11:30:00,completed,Discussed input costs
214,134,8,2026-01-07 17:15:00,rescheduled,
215,187,3,2026-05-19 09:00:00,completed,Crop looks healthy
216,129,2,2025-05-13 11:15:00,rescheduled,"Plot inaccessible, will revisit"
217,446,6,2025-12-28 11:15:00,completed,Soil sample collected
218,447,11,2025-01-10 18:15:00,completed,
219,217,6,2025-12-21 10:00:00,completed,Advised on irrigation schedule
220,138,6,2025-02-19 14:30:00,farmer_absent,"Nobody at site, left advisory note"
221,274,8,2024-06-05 12:15:00,farmer_absent,Farmer not present at plot
222,257,24,2025-07-12 09:00:00,completed,Pest damage observed on eastern edge
223,124,20,2024-04-17 16:30:00,completed,
224,90,9,2026-03-07 16:00:00,completed,
225,70,18,2025-02-24 14:45:00,completed,
226,269,7,2024-06-05 16:45:00,farmer_absent,
227,86,25,2026-04-12 07:15:00,completed,Discussed input costs
228,432,19,2025-07-24 11:30:00,completed,
229,102,7,2025-05-31 17:15:00,completed,Pest damage observed on eastern edge
230,333,24,2025-12-12 07:15:00,cancelled,"Duplicate visit, cancelled"
231,250,5,2025-08-04 14:15:00,completed,Crop looks healthy
232,126,5,2024-11-02 11:30:00,completed,
233,198,14,2026-06-01 11:30:00,rescheduled,
234,21,16,2026-06-11 12:15:00,completed,Pest damage observed on eastern edge
235,6,5,2024-07-18 15:30:00,completed,Soil sample collected
236,323,24,2025-05-17 12:45:00,completed,Discussed input costs
237,146,13,2025-05-28 14:45:00,farmer_absent,Farmer not present at plot
238,342,13,2026-03-15 12:45:00,farmer_absent,Could not reach farmer by phone
239,74,3,2026-05-16 13:30:00,completed,Crop looks healthy
240,23,9,2026-02-01 16:15:00,completed,Pest damage observed on eastern edge
241,219,4,2026-01-16 08:15:00,rescheduled,"Plot inaccessible, will revisit"
242,373,11,2026-01-07 09:45:00,completed,
243,416,11,2024-11-26 12:45:00,partial,Sensor check pending
244,296,10,2024-11-11 12:15:00,completed,Recommended fertiliser top-up
245,413,9,2025-12-31 13:45:00,completed,Recommended fertiliser top-up
246,256,24,2025-07-01 16:30:00,rescheduled,"Plot inaccessible, will revisit"
247,55,18,2026-01-03 10:15:00,completed,Pest damage observed on eastern edge
248,51,19,2025-06-23 13:45:00,completed,Recommended fertiliser top-up
249,42,22,2025-04-14 08:30:00,cancelled,Farmer withdrew from programme
250,224,17,2026-03-15 14:00:00,completed,Discussed input costs
251,61,21,2025-04-03 16:15:00,completed,Soil sample collected
252,147,24,2025-09-09 16:30:00,completed,Advised on irrigation schedule
253,52,3,2026-05-27 18:00:00,completed,
254,253,23,2024-10-25 07:00:00,completed,Crop looks healthy
255,69,5,2024-09-23 18:30:00,completed,Advised on irrigation schedule
256,21,19,2025-09-15 07:00:00,partial,
257,1,7,2024-06-02 13:45:00,completed,Recommended fertiliser top-up
258,316,3,2024-04-20 11:15:00,completed,Recommended fertiliser top-up
259,81,8,2025-03-29 10:30:00,completed,Discussed input costs
260,341,24,2024-05-12 12:30:00,completed,
261,215,8,2024-05-28 17:30:00,completed,
262,77,13,2026-05-30 16:00:00,completed,
263,65,5,2024-08-09 11:30:00,completed,Soil sample collected
264,368,12,2026-04-16 17:30:00,partial,Ran out of daylight
265,243,10,2026-03-12 10:30:00,completed,Crop looks healthy
266,431,9,2025-07-17 14:45:00,completed,
267,402,10,2025-05-16 12:45:00,completed,Pest damage observed on eastern edge
268,4,6,2025-12-06 08:45:00,rescheduled,"Plot inaccessible, will revisit"
269,76,16,2025-12-17 16:45:00,partial,Ran out of daylight
270,370,6,2025-06-18 07:30:00,farmer_absent,Could not reach farmer by phone
271,173,21,2024-06-20 10:15:00,completed,Recommended fertiliser top-up
272,272,24,2025-05-31 18:00:00,completed,Recommended fertiliser top-up
273,276,15,2026-07-05 12:00:00,completed,Advised on irrigation schedule
274,243,14,2025-05-02 16:15:00,cancelled,Plot no longer under cultivation
275,231,8,2024-05-05 17:30:00,completed,Crop looks healthy
276,272,24,2024-04-30 10:45:00,completed,Crop looks healthy
277,39,9,2025-02-17 13:00:00,completed,Recommended fertiliser top-up
278,394,6,2025-03-29 10:30:00,farmer_absent,"Nobody at site, left advisory note"
279,200,17,2026-02-19 17:15:00,completed,
280,41,11,2025-04-15 08:15:00,partial,Sensor check pending
281,87,5,2025-06-20 13:15:00,farmer_absent,Could not reach farmer by phone
282,50,18,2025-10-07 18:00:00,completed,Pest damage observed on eastern edge
283,448,4,2024-03-29 10:00:00,farmer_absent,Could not reach farmer by phone
284,92,5,2025-09-08 15:45:00,completed,
285,343,6,2025-08-20 08:30:00,completed,Soil sample collected
286,280,24,2026-08-01 08:00:00,completed,Discussed input costs
287,83,8,2025-04-16 17:30:00,completed,
288,406,5,2024-05-15 13:15:00,completed,
289,397,13,2024-07-18 17:45:00,completed,
290,199,19,2026-01-28 07:45:00,completed,Discussed input costs
291,9,12,2024-10-24 13:00:00,partial,Farmer left midway
292,44,11,2024-12-19 15:00:00,completed,
293,254,2,2026-04-19 07:30:00,completed,
294,151,2,2026-06-24 17:15:00,completed,
295,79,19,2026-06-04 12:00:00,completed,Recommended fertiliser top-up
296,209,10,2025-09-18 18:00:00,rescheduled,Farmer requested a later date
297,186,17,2024-06-24 12:00:00,completed,Soil sample collected
298,299,8,2026-06-30 11:00:00,rescheduled,"Plot inaccessible, will revisit"
299,283,24,2025-07-02 07:30:00,cancelled,
300,48,18,2024-07-22 09:00:00,completed,Crop looks healthy
301,55,2,2025-04-26 12:45:00,completed,Recommended fertiliser top-up
302,82,15,2026-05-28 09:15:00,completed,Advised on irrigation schedule
303,323,16,2026-01-08 18:15:00,completed,Soil sample collected
304,209,10,2025-01-06 18:15:00,completed,Soil sample collected
305,31,19,2026-02-03 11:30:00,completed,
306,297,2,2024-11-26 18:45:00,completed,
307,1,13,2024-12-23 18:30:00,completed,Pest damage observed on eastern edge
308,417,24,2024-10-01 09:00:00,completed,Soil sample collected
309,382,2,2024-08-01 17:45:00,completed,Soil sample collected
310,142,19,2026-08-17 10:00:00,rescheduled,Farmer requested a later date
311,212,3,2025-05-19 09:00:00,rescheduled,"Plot inaccessible, will revisit"
312,211,23,2025-05-22 10:15:00,completed,Discussed input costs
313,97,22,2025-12-14 14:30:00,completed,Recommended fertiliser top-up
314,2,14,2025-05-02 07:00:00,farmer_absent,Could not reach farmer by phone
315,105,21,2026-03-28 11:15:00,completed,Crop looks healthy
316,243,6,2024-12-27 12:30:00,completed,
317,103,10,2024-04-12 13:30:00,completed,Soil sample collected
318,225,1,2024-06-11 17:45:00,completed,Pest damage observed on eastern edge
319,57,4,2025-03-03 18:00:00,completed,Recommended fertiliser top-up
320,383,13,2025-01-16 10:30:00,completed,Soil sample collected
321,388,18,2024-03-26 16:15:00,completed,Crop looks healthy
322,77,11,2024-06-24 15:45:00,completed,Crop looks healthy
323,247,5,2024-07-30 18:45:00,completed,Recommended fertiliser top-up
324,301,5,2024-10-03 16:30:00,completed,
325,320,11,2025-09-21 12:30:00,completed,Soil sample collected
326,273,7,2025-06-04 07:00:00,completed,Pest damage observed on eastern edge
327,119,16,2026-01-22 13:00:00,completed,
328,368,9,2026-01-08 08:00:00,completed,
329,62,21,2024-12-25 10:00:00,completed,Soil sample collected
330,314,17,2024-05-31 15:15:00,completed,Recommended fertiliser top-up
331,278,6,2024-10-15 18:00:00,cancelled,
332,419,14,2025-09-15 08:15:00,cancelled,"Duplicate visit, cancelled"
333,1,5,2025-08-19 14:15:00,completed,Advised on irrigation schedule
334,322,22,2025-11-11 09:15:00,completed,Crop looks healthy
335,376,13,2026-01-29 11:45:00,completed,
336,116,1,2026-04-21 18:15:00,completed,Recommended fertiliser top-up
337,428,3,2024-09-14 09:45:00,completed,Pest damage observed on eastern edge
338,192,3,2024-09-18 08:00:00,farmer_absent,"Nobody at site, left advisory note"
339,38,1,2025-05-31 18:15:00,completed,Discussed input costs
340,232,11,2025-05-17 09:45:00,completed,Recommended fertiliser top-up
341,311,7,2024-07-29 07:15:00,completed,
342,396,2,2024-03-07 08:15:00,cancelled,Plot no longer under cultivation
343,378,16,2025-01-23 13:15:00,completed,Pest damage observed on eastern edge
344,276,5,2025-12-16 15:00:00,completed,Advised on irrigation schedule
345,174,5,2025-11-27 12:15:00,rescheduled,Farmer requested a later date
346,219,3,2026-03-29 10:00:00,completed,
347,37,5,2024-07-25 12:45:00,completed,Recommended fertiliser top-up
348,434,8,2024-06-27 07:00:00,rescheduled,Farmer requested a later date
349,43,2,2026-05-27 10:45:00,partial,Only half the plot surveyed
350,225,23,2026-06-22 17:00:00,farmer_absent,Could not reach farmer by phone
351,161,24,2024-05-28 17:30:00,farmer_absent,Could not reach farmer by phone
352,82,15,2024-12-13 16:45:00,completed,Advised on irrigation schedule
353,78,4,2025-03-24 07:30:00,completed,Crop looks healthy
354,260,11,2026-07-05 07:00:00,completed,Soil sample collected
355,194,10,2026-05-21 18:30:00,completed,
356,194,9,2025-06-23 11:15:00,partial,Sensor check pending
357,339,17,2024-04-30 16:45:00,farmer_absent,Farmer not present at plot
358,321,7,2026-01-19 13:45:00,completed,Crop looks healthy
359,396,2,2026-04-13 07:30:00,rescheduled,Farmer requested a later date
360,444,7,2025-01-27 18:00:00,completed,Recommended fertiliser top-up
361,439,17,2025-03-27 15:15:00,completed,Soil sample collected
362,271,19,2025-11-18 09:00:00,completed,
363,317,24,2025-03-03 17:30:00,completed,Pest damage observed on eastern edge
364,11,12,2024-07-06 09:30:00,farmer_absent,
365,110,23,2026-05-27 07:45:00,completed,
366,81,21,2024-07-05 07:15:00,completed,Soil sample collected
367,370,22,2025-08-07 15:15:00,completed,Crop looks healthy
368,343,12,2025-10-08 11:30:00,completed,Crop looks healthy
369,396,2,2025-08-07 15:15:00,rescheduled,"Plot inaccessible, will revisit"
370,170,24,2026-04-04 16:00:00,completed,Discussed input costs
371,20,6,2024-03-29 10:15:00,cancelled,Plot no longer under cultivation
372,392,7,2024-04-23 11:30:00,cancelled,Farmer withdrew from programme
373,203,11,2024-05-16 08:00:00,farmer_absent,
374,270,8,2025-02-08 16:15:00,completed,Advised on irrigation schedule
375,324,24,2026-01-10 13:30:00,partial,Only half the plot surveyed
376,209,24,2026-06-02 16:45:00,farmer_absent,Could not reach farmer by phone
377,200,17,2024-06-13 18:00:00,completed,Pest damage observed on eastern edge
378,107,1,2024-12-27 12:45:00,completed,Pest damage observed on eastern edge
379,429,7,2025-12-12 13:30:00,completed,
380,136,13,2024-08-07 07:15:00,completed,Discussed input costs
381,69,3,2025-10-05 08:00:00,rescheduled,"Plot inaccessible, will revisit"
382,56,8,2025-12-26 15:45:00,completed,Crop looks healthy
383,301,5,2026-02-01 18:15:00,partial,
384,309,24,2025-12-17 11:30:00,completed,Advised on irrigation schedule
385,48,16,2024-09-06 18:30:00,completed,
386,383,19,2024-11-12 12:15:00,completed,
387,220,11,2025-03-06 08:00:00,farmer_absent,
388,400,2,2026-02-03 15:15:00,completed,
389,312,14,2025-07-20 17:45:00,completed,Soil sample collected
390,52,6,2024-06-24 11:30:00,completed,
391,261,21,2025-01-11 14:45:00,completed,Pest damage observed on eastern edge
392,319,23,2025-10-26 07:00:00,completed,Crop looks healthy
393,407,7,2024-06-12 12:30:00,completed,Pest damage observed on eastern edge
394,209,9,2024-10-28 16:00:00,completed,Discussed input costs
395,232,11,2024-12-07 15:30:00,partial,
396,363,10,2025-10-31 09:00:00,farmer_absent,
397,131,16,2025-07-03 16:45:00,farmer_absent,
398,446,25,2024-10-16 15:45:00,completed,Recommended fertiliser top-up
399,75,17,2025-01-03 17:15:00,completed,Advised on irrigation schedule
400,151,2,2025-01-13 10:15:00,cancelled,Farmer withdrew from programme
401,95,8,2025-10-22 09:45:00,completed,Crop looks healthy
402,209,6,2025-01-25 09:45:00,completed,
403,392,13,2024-10-31 09:15:00,completed,Soil sample collected
404,267,21,2024-10-02 16:30:00,completed,Pest damage observed on eastern edge
405,337,25,2026-08-02 07:30:00,partial,Only half the plot surveyed
406,73,19,2024-12-03 12:00:00,completed,Pest damage observed on eastern edge
407,208,24,2025-02-08 09:45:00,completed,Advised on irrigation schedule
408,402,12,2025-09-01 17:00:00,cancelled,Plot no longer under cultivation
409,8,25,2026-05-11 17:15:00,farmer_absent,Could not reach farmer by phone
410,293,1,2025-12-05 11:45:00,completed,Soil sample collected
411,301,5,2024-04-01 11:00:00,rescheduled,"Heavy rain, rescheduled"
412,245,25,2026-01-02 07:45:00,completed,
413,33,4,2024-04-18 13:15:00,completed,Soil sample collected
414,417,24,2026-07-01 13:00:00,completed,Recommended fertiliser top-up
415,42,22,2026-06-06 12:00:00,completed,Pest damage observed on eastern edge
416,442,2,2024-03-10 14:45:00,completed,Crop looks healthy
417,374,22,2025-11-06 07:45:00,completed,Recommended fertiliser top-up
418,201,24,2026-03-29 13:45:00,completed,Pest damage observed on eastern edge
419,177,7,2024-07-17 18:45:00,cancelled,Farmer withdrew from programme
420,83,8,2024-06-23 11:00:00,completed,Recommended fertiliser top-up
421,35,7,2026-01-24 10:00:00,partial,Sensor check pending
422,184,7,2026-01-24 13:00:00,completed,Advised on irrigation schedule
423,238,1,2026-01-22 17:00:00,completed,Pest damage observed on eastern edge
424,1,5,2024-07-12 10:30:00,completed,
425,280,2,2025-07-30 10:15:00,completed,Recommended fertiliser top-up
426,158,24,2024-08-06 16:30:00,completed,
427,151,2,2025-06-04 11:00:00,completed,Soil sample collected
428,350,6,2025-07-08 15:00:00,cancelled,
429,380,9,2026-02-09 07:15:00,completed,
430,421,2,2026-05-07 10:30:00,completed,
431,88,17,2024-07-28 18:45:00,completed,
432,444,18,2025-12-14 15:15:00,completed,Discussed input costs
433,210,24,2025-01-10 14:00:00,completed,
434,207,14,2025-05-12 18:00:00,completed,
435,121,17,2024-06-12 09:00:00,completed,Crop looks healthy
436,193,14,2024-10-14 09:15:00,completed,Discussed input costs
437,346,7,2024-09-23 12:00:00,farmer_absent,
438,54,12,2025-01-13 18:00:00,completed,Pest damage observed on eastern edge
439,38,5,2025-09-18 13:45:00,farmer_absent,Farmer not present at plot
440,286,7,2025-12-22 16:30:00,farmer_absent,Farmer not present at plot
441,82,14,2024-03-31 07:15:00,completed,
442,369,24,2025-03-18 17:15:00,completed,Discussed input costs
443,434,8,2024-10-26 11:30:00,completed,
444,415,2,2024-09-07 14:00:00,completed,Pest damage observed on eastern edge
445,121,13,2025-05-18 14:15:00,completed,Pest damage observed on eastern edge
446,14,15,2025-11-11 08:00:00,farmer_absent,
447,254,2,2025-07-22 09:45:00,completed,Pest damage observed on eastern edge
