id,plot_id,issued_at,category,severity,acknowledged_at
66,329,2024-09-04 06:00:00,weather,info,2024-09-04 07:00:00
67,92,2025-05-02 08:50:00,harvest,info,2025-05-02 19:50:00
68,23,2024-07-19 16:10:00,pest,critical,2024-07-22 01:10:00
69,421,2025-01-13 09:10:00,nutrient,info,
70,304,2025-10-02 05:00:00,harvest,critical,2025-10-05 23:00:00
71,45,2025-03-21 14:40:00,disease,warning,
72,416,2024-10-27 09:40:00,weather,warning,2024-10-30 09:40:00
73,110,2025-06-23 16:10:00,pest,warning,2025-06-26 05:10:00
74,212,2024-07-30 07:40:00,nutrient,urgent,2024-07-31 02:40:00
75,104,2025-10-05 07:10:00,pest,urgent,2025-10-05 17:10:00
76,133,2025-09-13 06:10:00,weather,info,
77,207,2026-01-04 10:00:00,irrigation,warning,2026-01-08 08:00:00
78,225,2025-11-30 12:20:00,pest,urgent,2025-12-03 08:20:00
79,208,2025-11-13 18:00:00,weather,urgent,2025-11-16 22:00:00
80,113,2024-08-15 13:20:00,irrigation,critical,2024-08-18 12:20:00
81,91,2025-09-28 12:30:00,irrigation,critical,2025-10-01 21:30:00
82,208,2026-03-31 06:20:00,nutrient,info,
83,142,2024-08-28 06:30:00,irrigation,info,
84,41,2025-08-12 17:10:00,weather,info,2025-08-12 19:10:00
85,18,2025-02-12 15:20:00,harvest,info,
86,159,2024-08-01 05:50:00,pest,critical,2024-08-02 11:50:00
87,43,2026-05-09 19:40:00,pest,critical,2026-05-13 11:40:00
88,73,2025-09-17 14:50:00,harvest,critical,2025-09-17 21:50:00
89,360,2026-02-19 10:50:00,irrigation,info,
90,120,2025-10-01 13:50:00,pest,critical,2025-10-01 14:50:00
91,342,2026-04-03 10:30:00,weather,urgent,
92,183,2026-06-20 05:10:00,harvest,urgent,
93,26,2026-05-31 15:00:00,disease,info,
94,450,2025-08-29 13:30:00,pest,warning,
95,225,2025-11-03 06:30:00,disease,info,
96,433,2026-04-09 19:40:00,harvest,warning,
97,381,2024-12-23 16:50:00,pest,info,2024-12-24 01:50:00
98,5,2025-07-13 14:50:00,harvest,warning,
99,7,2026-01-23 08:00:00,disease,info,2026-01-23 13:00:00
100,220,2026-07-04 14:00:00,pest,info,2026-07-07 21:00:00
101,114,2024-10-19 15:40:00,irrigation,warning,2024-10-22 13:40:00
102,178,2024-07-02 12:20:00,irrigation,warning,2024-07-02 18:20:00
103,199,2026-06-08 06:00:00,pest,warning,2026-06-11 08:00:00
104,330,2026-07-31 17:40:00,weather,warning,
105,31,2026-06-05 17:50:00,disease,warning,2026-06-09 11:50:00
106,246,2025-03-25 13:50:00,disease,warning,
107,340,2026-02-02 14:20:00,irrigation,warning,
108,442,2026-01-01 05:00:00,disease,info,
109,172,2025-09-18 05:10:00,pest,info,2025-09-18 07:10:00
110,253,2026-01-14 17:20:00,disease,info,
111,147,2026-05-03 19:40:00,harvest,info,
112,96,2024-10-11 09:10:00,pest,urgent,2024-10-11 22:10:00
113,8,2024-07-26 06:40:00,nutrient,info,
114,430,2024-09-25 06:20:00,weather,info,
115,285,2025-06-22 13:10:00,pest,info,
116,46,2025-07-22 17:30:00,irrigation,info,2025-07-22 18:30:00
117,348,2025-09-11 19:20:00,weather,urgent,
118,405,2025-02-09 19:20:00,pest,urgent,
119,88,2024-12-20 18:20:00,nutrient,info,2024-12-22 01:20:00
120,344,2026-02-17 05:50:00,disease,info,2026-02-20 00:50:00
121,40,2025-12-01 19:30:00,pest,urgent,2025-12-02 12:30:00
122,228,2026-04-24 07:20:00,pest,urgent,2026-04-27 06:20:00
123,93,2026-02-07 18:50:00,harvest,critical,2026-02-11 00:50:00
124,339,2026-02-25 07:20:00,weather,urgent,2026-02-25 23:20:00
125,294,2025-04-06 05:50:00,pest,info,2025-04-06 19:50:00
126,258,2025-05-29 11:40:00,pest,info,
127,374,2024-12-25 15:40:00,disease,urgent,2024-12-28 04:40:00
128,361,2024-09-11 08:30:00,irrigation,warning,2024-09-11 15:30:00
129,122,2025-04-16 11:00:00,weather,warning,2025-04-17 07:00:00
130,298,2025-04-15 10:40:00,irrigation,info,
131,444,2026-06-26 08:40:00,nutrient,info,
132,84,2026-08-18 06:10:00,weather,warning,
133,66,2024-11-17 12:10:00,pest,warning,2024-11-18 21:10:00
134,143,2025-11-07 20:20:00,harvest,warning,
135,441,2025-02-28 08:00:00,irrigation,warning,
136,296,2024-12-11 11:50:00,harvest,info,2024-12-14 20:50:00
137,7,2026-04-11 06:50:00,harvest,info,2026-04-15 02:50:00
138,77,2026-01-07 09:10:00,harvest,warning,2026-01-08 02:10:00
139,449,2026-05-06 12:20:00,weather,warning,2026-05-07 05:20:00
140,48,2025-06-18 15:00:00,harvest,warning,2025-06-18 16:00:00
141,423,2026-06-22 16:50:00,nutrient,urgent,2026-06-25 01:50:00
142,236,2025-08-20 17:40:00,disease,info,
143,394,2026-06-08 05:50:00,nutrient,info,
144,350,2024-09-16 07:30:00,pest,info,
145,441,2026-03-10 11:00:00,harvest,critical,2026-03-11 19:00:00
146,278,2025-11-10 07:40:00,pest,info,2025-11-13 08:40:00
147,411,2026-01-24 08:30:00,nutrient,warning,2026-01-26 07:30:00
148,286,2025-08-07 18:30:00,pest,warning,
149,197,2025-12-23 17:10:00,nutrient,info,
150,186,2025-08-14 06:20:00,irrigation,warning,
151,154,2024-10-17 06:30:00,harvest,critical,2024-10-18 08:30:00
152,157,2024-12-08 11:50:00,irrigation,info,2024-12-08 13:50:00
153,332,2024-12-08 17:10:00,nutrient,warning,2024-12-09 15:10:00
154,69,2025-06-01 08:00:00,nutrient,info,2025-06-02 12:00:00
155,341,2026-04-01 15:50:00,disease,warning,2026-04-05 06:50:00
156,52,2024-09-23 06:40:00,weather,urgent,
157,352,2024-11-25 08:50:00,disease,warning,2024-11-28 18:50:00
158,371,2025-10-05 07:50:00,irrigation,warning,
159,113,2026-01-26 15:10:00,nutrient,urgent,2026-01-28 04:10:00
160,96,2025-08-10 06:20:00,disease,warning,2025-08-11 16:20:00
161,418,2026-07-15 12:00:00,harvest,info,
162,271,2025-03-26 17:00:00,irrigation,info,
163,443,2025-04-28 17:50:00,nutrient,warning,2025-04-30 12:50:00
164,206,2024-12-27 13:50:00,harvest,urgent,
165,172,2026-01-27 16:10:00,nutrient,warning,2026-01-29 03:10:00
166,198,2024-08-04 17:00:00,disease,warning,
167,41,2026-02-19 15:20:00,pest,info,
168,294,2025-09-13 14:40:00,weather,info,2025-09-15 18:40:00
169,74,2025-09-23 16:40:00,disease,info,2025-09-26 02:40:00
170,58,2025-12-17 05:30:00,irrigation,urgent,2025-12-18 12:30:00
171,398,2024-08-15 08:20:00,pest,info,2024-08-16 21:20:00
172,342,2025-11-21 11:10:00,pest,urgent,2025-11-23 17:10:00
173,155,2024-06-15 15:20:00,nutrient,info,
174,291,2025-06-23 12:50:00,pest,urgent,2025-06-27 04:50:00
175,16,2025-02-19 08:30:00,disease,critical,2025-02-20 06:30:00
176,62,2026-05-30 16:50:00,irrigation,warning,2026-06-02 16:50:00
177,163,2026-03-12 11:20:00,disease,urgent,2026-03-16 10:20:00
178,222,2025-03-20 19:20:00,harvest,info,
179,256,2026-07-01 08:30:00,harvest,info,
180,418,2024-09-26 05:50:00,harvest,warning,
181,421,2026-03-21 12:30:00,nutrient,warning,2026-03-23 20:30:00
182,350,2025-09-22 18:10:00,pest,info,2025-09-24 06:10:00
183,331,2026-07-03 16:10:00,pest,urgent,
184,13,2025-08-08 15:50:00,pest,warning,
185,13,2026-03-17 20:50:00,disease,info,2026-03-19 12:50:00
186,164,2025-05-02 11:00:00,disease,warning,
187,294,2024-09-10 08:10:00,harvest,urgent,2024-09-13 17:10:00
188,45,2025-03-31 10:00:00,irrigation,info,2025-04-03 18:00:00
189,180,2024-08-23 09:40:00,pest,urgent,2024-08-27 06:40:00
190,308,2024-10-28 10:40:00,disease,warning,
191,177,2026-04-11 16:40:00,harvest,info,
192,350,2026-01-13 12:10:00,nutrient,info,
193,117,2024-09-02 11:40:00,irrigation,warning,2024-09-04 00:40:00
194,437,2025-04-21 12:20:00,pest,info,2025-04-23 19:20:00
195,260,2025-08-26 06:30:00,weather,info,
196,236,2026-07-04 10:30:00,pest,warning,
197,392,2025-03-20 10:10:00,pest,info,2025-03-23 01:10:00
198,80,2025-07-10 08:20:00,weather,warning,
199,114,2025-01-25 10:50:00,harvest,info,
200,407,2024-11-12 18:50:00,nutrient,urgent,2024-11-14 04:50:00
201,245,2026-01-26 15:30:00,disease,urgent,2026-01-27 18:30:00
202,354,2026-03-16 09:10:00,pest,urgent,2026-03-19 19:10:00
203,387,2024-12-05 14:20:00,harvest,critical,2024-12-09 04:20:00
204,290,2026-03-15 10:10:00,nutrient,urgent,2026-03-15 18:10:00
205,94,2024-11-25 15:10:00,disease,info,2024-11-27 17:10:00
206,427,2024-11-07 20:10:00,weather,info,
207,29,2025-11-14 17:50:00,pest,urgent,2025-11-16 00:50:00
208,249,2024-10-03 15:10:00,pest,urgent,
209,335,2025-01-21 15:10:00,disease,info,
210,397,2025-07-21 10:30:00,harvest,warning,2025-07-22 23:30:00
211,205,2025-12-28 20:50:00,irrigation,info,2026-01-01 18:50:00
212,405,2025-04-19 06:20:00,disease,info,
213,321,2024-10-13 07:20:00,irrigation,info,
214,37,2026-06-01 15:20:00,pest,warning,2026-06-05 05:20:00
215,296,2024-08-11 17:40:00,weather,critical,2024-08-14 03:40:00
216,255,2025-08-18 10:00:00,pest,warning,2025-08-19 04:00:00
217,130,2026-02-28 18:10:00,nutrient,warning,2026-03-04 06:10:00
218,50,2026-04-02 07:10:00,weather,info,
219,125,2024-07-11 18:40:00,nutrient,warning,2024-07-15 05:40:00
220,208,2026-07-13 20:10:00,nutrient,info,
221,119,2026-05-30 10:10:00,nutrient,warning,2026-05-30 14:10:00
222,174,2024-09-06 20:50:00,disease,warning,2024-09-10 06:50:00
223,324,2024-09-17 14:10:00,irrigation,info,2024-09-19 15:10:00
224,159,2026-02-08 05:40:00,harvest,warning,
225,172,2026-02-14 12:00:00,pest,info,2026-02-17 16:00:00
226,181,2026-07-26 16:30:00,weather,urgent,2026-07-28 05:30:00
227,328,2025-05-09 14:30:00,nutrient,info,2025-05-10 08:30:00
228,288,2025-05-01 17:20:00,nutrient,info,
229,255,2025-07-05 14:40:00,pest,warning,2025-07-07 06:40:00
230,215,2026-01-25 17:20:00,irrigation,warning,
231,440,2025-09-15 06:00:00,disease,warning,2025-09-19 00:00:00
232,241,2026-01-28 06:40:00,weather,urgent,
233,219,2024-11-26 10:30:00,weather,warning,2024-11-29 20:30:00
234,333,2025-08-18 09:40:00,pest,warning,2025-08-19 12:40:00
235,356,2025-08-05 19:50:00,disease,info,2025-08-06 10:50:00
236,271,2026-03-08 19:30:00,pest,warning,2026-03-10 02:30:00
237,437,2025-10-02 14:40:00,irrigation,warning,2025-10-05 15:40:00
238,314,2025-07-13 16:20:00,irrigation,warning,2025-07-15 07:20:00
239,386,2025-11-24 14:50:00,pest,info,
240,406,2025-10-11 08:30:00,disease,warning,
241,386,2024-12-05 12:50:00,nutrient,critical,2024-12-08 15:50:00
242,146,2025-12-31 13:30:00,harvest,info,
243,429,2024-10-15 10:10:00,weather,info,
244,216,2026-04-10 20:50:00,harvest,critical,
245,419,2025-02-20 13:00:00,weather,info,2025-02-20 15:00:00
246,229,2026-04-09 06:50:00,pest,info,
247,246,2025-09-19 14:40:00,nutrient,info,2025-09-23 09:40:00
248,190,2025-09-09 20:40:00,pest,info,
249,126,2026-08-09 06:20:00,irrigation,info,
250,196,2026-06-15 09:50:00,disease,warning,2026-06-15 13:50:00
251,378,2025-08-20 08:10:00,irrigation,urgent,2025-08-22 20:10:00
252,440,2025-07-13 16:40:00,weather,warning,2025-07-15 11:40:00
253,173,2024-11-14 20:00:00,weather,warning,2024-11-15 07:00:00
254,313,2026-01-08 07:20:00,irrigation,warning,2026-01-09 08:20:00
255,357,2025-09-18 17:30:00,weather,info,2025-09-21 15:30:00
256,190,2026-07-01 11:20:00,disease,urgent,2026-07-03 16:20:00
257,344,2024-07-22 09:00:00,irrigation,urgent,2024-07-24 20:00:00
258,94,2025-11-21 18:10:00,harvest,warning,2025-11-23 00:10:00
259,231,2024-08-18 18:40:00,nutrient,urgent,2024-08-22 07:40:00
260,401,2025-02-12 05:00:00,harvest,warning,
261,161,2024-08-22 09:40:00,pest,urgent,2024-08-25 12:40:00
262,79,2024-10-19 07:50:00,pest,warning,2024-10-20 20:50:00
263,239,2025-11-23 11:00:00,pest,info,
264,80,2025-12-29 16:00:00,weather,info,
265,144,2025-06-13 17:20:00,harvest,info,
266,447,2024-07-09 10:10:00,disease,info,
267,320,2025-12-23 05:10:00,pest,info,2025-12-26 07:10:00
268,111,2026-01-22 05:10:00,nutrient,info,2026-01-24 10:10:00
269,226,2026-06-11 08:50:00,irrigation,urgent,
270,418,2026-08-09 19:30:00,weather,info,
271,178,2024-07-12 15:10:00,harvest,urgent,2024-07-14 03:10:00
272,190,2026-01-16 06:00:00,harvest,critical,2026-01-17 12:00:00
273,298,2025-01-27 13:30:00,harvest,info,2025-01-29 00:30:00
274,406,2026-04-07 06:10:00,harvest,warning,2026-04-10 09:10:00
275,409,2024-06-21 05:00:00,harvest,warning,2024-06-22 02:00:00
276,409,2026-04-06 14:00:00,nutrient,urgent,2026-04-10 11:00:00
277,426,2025-11-27 19:50:00,harvest,urgent,2025-11-30 08:50:00
278,326,2024-09-11 20:20:00,weather,urgent,2024-09-15 04:20:00
279,442,2026-02-13 13:00:00,disease,info,
280,275,2025-05-25 09:50:00,pest,warning,2025-05-28 02:50:00
281,93,2026-03-13 15:40:00,harvest,info,
282,176,2025-07-21 17:40:00,harvest,info,2025-07-24 10:40:00
283,379,2026-03-22 12:30:00,pest,info,2026-03-25 14:30:00
284,407,2026-02-10 08:10:00,pest,info,
285,272,2025-05-08 06:10:00,weather,warning,
286,213,2024-07-20 06:50:00,pest,urgent,
287,233,2026-06-30 20:20:00,disease,warning,
288,307,2026-03-18 16:00:00,irrigation,warning,
289,356,2025-08-21 10:40:00,pest,info,
290,253,2026-05-07 10:10:00,nutrient,info,
291,384,2025-12-02 12:10:00,irrigation,warning,2025-12-02 15:10:00
292,439,2025-10-27 09:10:00,irrigation,info,2025-10-31 00:10:00
293,351,2025-11-26 17:10:00,pest,urgent,
294,355,2025-02-13 11:10:00,pest,critical,2025-02-15 20:10:00
295,157,2025-03-23 20:40:00,pest,warning,
296,139,2025-05-01 05:10:00,nutrient,info,2025-05-04 21:10:00
297,393,2025-03-18 16:00:00,disease,warning,
298,404,2024-09-20 19:30:00,disease,info,
299,204,2025-06-08 11:10:00,nutrient,critical,2025-06-10 04:10:00
300,120,2025-11-18 10:30:00,disease,critical,2025-11-19 08:30:00
301,184,2025-01-16 09:00:00,irrigation,warning,
302,278,2026-05-26 09:40:00,weather,info,
303,372,2026-03-11 09:40:00,disease,info,2026-03-13 14:40:00
304,22,2026-03-17 15:20:00,disease,urgent,2026-03-19 19:20:00
305,224,2025-12-12 19:50:00,disease,warning,2025-12-15 00:50:00
306,424,2024-11-20 14:50:00,nutrient,urgent,2024-11-22 22:50:00
307,39,2025-09-10 13:40:00,weather,warning,
308,174,2026-05-12 11:10:00,pest,warning,2026-05-15 08:10:00
309,23,2025-11-13 12:50:00,pest,urgent,2025-11-16 23:50:00
310,91,2026-03-17 08:10:00,weather,urgent,2026-03-18 22:10:00
311,340,2026-04-26 16:40:00,nutrient,info,
312,275,2025-03-26 17:20:00,pest,urgent,2025-03-29 20:20:00
313,272,2025-09-19 13:40:00,disease,warning,2025-09-21 05:40:00
314,429,2024-09-29 05:00:00,nutrient,urgent,2024-10-01 22:00:00
315,227,2024-11-04 20:10:00,nutrient,urgent,2024-11-08 19:10:00
316,327,2025-07-04 14:30:00,pest,urgent,
317,306,2025-05-31 09:10:00,disease,info,2025-06-03 16:10:00
318,367,2025-05-30 09:10:00,harvest,info,2025-06-01 01:10:00
319,33,2026-07-04 14:10:00,irrigation,warning,2026-07-05 05:10:00
320,376,2025-04-09 08:00:00,disease,warning,
321,423,2024-07-02 18:40:00,irrigation,warning,
322,295,2024-09-11 08:50:00,pest,info,
323,377,2025-02-03 05:00:00,nutrient,info,
324,11,2024-07-25 10:50:00,harvest,info,2024-07-26 12:50:00
325,83,2025-02-13 15:10:00,pest,warning,2025-02-14 04:10:00
326,165,2024-11-11 06:20:00,disease,urgent,2024-11-14 02:20:00
327,282,2024-08-23 05:20:00,weather,warning,2024-08-25 11:20:00
328,88,2024-10-13 06:00:00,disease,warning,2024-10-15 14:00:00
329,422,2025-05-08 18:10:00,disease,urgent,2025-05-11 18:10:00
330,447,2025-03-24 17:50:00,disease,urgent,
331,418,2025-04-11 18:50:00,harvest,info,2025-04-12 09:50:00
332,278,2024-07-12 17:10:00,weather,info,2024-07-15 01:10:00
333,157,2024-06-15 08:00:00,weather,critical,2024-06-18 21:00:00
334,406,2026-03-12 11:10:00,weather,warning,2026-03-16 02:10:00
335,435,2025-03-17 12:20:00,harvest,urgent,2025-03-20 17:20:00
336,439,2026-06-16 20:20:00,harvest,warning,
337,11,2025-06-30 20:30:00,nutrient,info,
338,387,2024-11-13 16:40:00,weather,info,
339,268,2026-05-09 13:10:00,weather,urgent,2026-05-12 01:10:00
340,228,2025-06-26 08:30:00,weather,urgent,2025-06-28 06:30:00
341,215,2025-01-03 12:40:00,disease,warning,2025-01-06 04:40:00
342,377,2024-09-27 05:50:00,nutrient,urgent,2024-09-29 08:50:00
343,189,2024-09-06 17:40:00,weather,info,2024-09-08 15:40:00
344,425,2026-05-15 09:20:00,weather,warning,2026-05-18 02:20:00
345,290,2026-03-06 15:20:00,harvest,info,2026-03-08 23:20:00
346,326,2026-08-10 19:50:00,pest,info,2026-08-14 01:50:00
347,228,2025-11-18 20:10:00,irrigation,urgent,2025-11-22 00:10:00
348,33,2024-06-28 19:40:00,pest,warning,2024-07-01 19:40:00
349,284,2024-12-18 19:20:00,irrigation,warning,2024-12-21 19:20:00
350,352,2024-11-25 14:30:00,disease,info,
351,411,2024-12-05 14:00:00,weather,warning,2024-12-08 01:00:00
352,323,2025-09-02 11:30:00,pest,urgent,2025-09-05 08:30:00
353,195,2025-10-24 05:20:00,disease,info,2025-10-27 11:20:00
354,340,2024-11-02 17:00:00,disease,info,2024-11-02 22:00:00
355,205,2026-03-30 19:00:00,pest,info,2026-04-03 01:00:00
356,10,2025-02-08 10:20:00,pest,warning,2025-02-11 05:20:00
357,395,2026-01-05 05:40:00,harvest,urgent,2026-01-06 06:40:00
358,412,2026-07-08 15:30:00,weather,info,
359,122,2024-11-24 20:20:00,pest,urgent,
360,284,2025-08-29 18:10:00,nutrient,info,
361,404,2025-08-05 05:00:00,harvest,info,2025-08-07 02:00:00
362,200,2024-07-02 17:00:00,weather,warning,
363,183,2024-10-28 11:00:00,nutrient,urgent,
364,150,2026-05-12 13:40:00,weather,info,
365,341,2025-10-22 18:30:00,harvest,warning,2025-10-25 08:30:00
366,10,2024-10-19 08:40:00,pest,warning,2024-10-22 19:40:00
367,16,2026-04-26 11:30:00,pest,info,
368,119,2025-11-15 14:20:00,weather,critical,2025-11-18 19:20:00
369,23,2025-07-13 20:20:00,weather,warning,
370,206,2025-08-01 10:20:00,pest,critical,2025-08-02 03:20:00
371,166,2025-09-01 18:30:00,disease,info,
372,95,2026-02-15 08:40:00,harvest,info,2026-02-18 18:40:00
373,338,2025-10-22 19:00:00,irrigation,info,2025-10-24 21:00:00
374,278,2025-10-28 15:20:00,irrigation,warning,
375,88,2026-05-13 12:40:00,disease,info,2026-05-13 23:40:00
376,148,2025-09-12 16:10:00,weather,info,
377,29,2026-08-16 12:30:00,pest,info,2026-08-17 00:30:00
378,368,2024-06-13 20:10:00,nutrient,critical,2024-06-17 06:10:00
379,254,2026-03-12 18:20:00,weather,warning,2026-03-14 02:20:00
380,178,2025-01-27 15:50:00,disease,warning,2025-01-28 13:50:00
381,300,2024-10-04 14:10:00,irrigation,warning,2024-10-08 10:10:00
382,52,2025-06-30 08:40:00,nutrient,info,2025-06-30 19:40:00
383,35,2026-06-24 15:00:00,irrigation,warning,
384,158,2024-12-14 07:20:00,disease,warning,2024-12-16 20:20:00
385,392,2025-08-10 11:20:00,harvest,urgent,2025-08-13 07:20:00
386,381,2024-07-31 14:00:00,pest,urgent,
387,183,2025-01-02 14:50:00,irrigation,urgent,2025-01-03 16:50:00
388,149,2024-12-10 11:00:00,weather,info,
389,16,2026-01-04 11:00:00,harvest,warning,2026-01-04 20:00:00
390,103,2025-12-17 10:30:00,weather,critical,2025-12-20 03:30:00
391,90,2025-01-26 07:20:00,disease,urgent,2025-01-28 20:20:00
392,5,2025-10-31 18:10:00,pest,info,2025-11-01 18:10:00
393,228,2024-09-10 14:30:00,irrigation,info,
394,374,2025-12-31 20:40:00,pest,info,
395,183,2025-06-10 20:10:00,nutrient,info,
396,45,2024-07-28 20:30:00,weather,urgent,
397,415,2025-07-08 07:20:00,disease,info,
398,301,2024-12-08 13:30:00,pest,warning,2024-12-10 09:30:00
399,313,2024-12-26 05:50:00,weather,info,2024-12-29 10:50:00
400,175,2025-04-15 12:40:00,harvest,info,
401,363,2025-09-05 10:00:00,harvest,warning,2025-09-07 15:00:00
402,268,2025-10-26 14:10:00,weather,warning,2025-10-30 13:10:00
403,398,2025-03-08 14:40:00,harvest,urgent,
404,315,2024-08-08 19:40:00,nutrient,info,2024-08-10 19:40:00
405,169,2024-11-07 16:40:00,pest,info,
406,432,2024-12-21 06:10:00,weather,info,
407,237,2024-08-01 07:10:00,harvest,info,
408,312,2025-05-14 07:30:00,weather,info,2025-05-17 10:30:00
409,154,2025-11-24 15:00:00,disease,urgent,
410,218,2025-03-29 10:40:00,pest,critical,
411,43,2026-02-14 11:50:00,irrigation,info,
412,386,2025-06-01 08:00:00,nutrient,warning,
413,428,2025-02-14 07:20:00,pest,critical,2025-02-14 09:20:00
414,378,2024-11-25 10:00:00,irrigation,warning,2024-11-27 10:00:00
415,76,2025-01-23 18:30:00,pest,warning,2025-01-25 18:30:00
416,322,2024-10-16 15:50:00,harvest,warning,
417,238,2024-07-14 05:50:00,pest,info,2024-07-16 08:50:00
418,383,2024-07-18 08:00:00,pest,warning,
419,6,2025-12-08 09:40:00,irrigation,critical,2025-12-11 20:40:00
420,179,2026-04-17 12:50:00,weather,warning,2026-04-21 05:50:00
421,168,2025-02-18 08:40:00,pest,warning,2025-02-20 02:40:00
422,70,2025-10-17 11:50:00,harvest,warning,2025-10-19 07:50:00
423,408,2025-02-22 20:10:00,pest,info,2025-02-25 05:10:00
424,112,2024-09-12 16:40:00,disease,warning,2024-09-14 00:40:00
425,181,2025-12-15 06:50:00,nutrient,info,2025-12-17 00:50:00
426,47,2025-08-09 14:30:00,nutrient,warning,2025-08-11 09:30:00
427,421,2025-07-31 12:40:00,pest,warning,2025-08-02 09:40:00
428,52,2025-07-27 14:10:00,pest,info,
429,338,2026-04-04 12:30:00,weather,warning,2026-04-05 09:30:00
430,305,2025-06-14 17:30:00,irrigation,info,
431,91,2025-03-04 07:30:00,harvest,urgent,2025-03-08 02:30:00
432,212,2026-06-02 06:00:00,irrigation,warning,
433,325,2026-01-22 15:40:00,nutrient,urgent,2026-01-24 06:40:00
434,425,2025-11-21 06:20:00,weather,critical,2025-11-24 20:20:00
435,280,2026-08-18 09:30:00,nutrient,critical,2026-08-19 04:30:00
436,215,2026-01-18 18:10:00,irrigation,critical,2026-01-19 08:10:00
437,325,2025-11-27 13:30:00,disease,info,
438,304,2025-09-29 11:00:00,nutrient,warning,2025-09-29 17:00:00
439,254,2025-07-04 13:50:00,weather,urgent,
440,321,2024-09-10 05:40:00,irrigation,info,
