id,plot_id,reading_type,value,recorded_at
59,159,rainfall,33.89,2025-09-19 23:00:00
60,305,rainfall,0.0,2025-06-28 01:00:00
61,211,temperature,24.49,2026-02-02 22:00:00
62,32,temperature,27.66,2025-07-26 07:00:00
63,425,temperature,34.17,2025-09-09 01:00:00
64,168,temperature,22.72,2026-03-27 02:00:00
65,341,temperature,35.27,2025-11-26 17:00:00
66,223,humidity,69.04,2025-12-15 01:00:00
67,292,soil_moisture,42.67,2025-09-24 21:00:00
68,282,humidity,63.51,2026-01-11 09:00:00
69,186,temperature,28.15,2026-01-27 17:00:00
70,353,rainfall,0.0,2026-03-18 09:00:00
71,437,humidity,60.09,2025-10-04 15:00:00
72,238,temperature,26.04,2025-11-26 17:00:00
73,335,temperature,28.84,2025-09-05 04:00:00
74,74,soil_moisture,41.93,2025-10-23 22:00:00
75,29,rainfall,0.0,2026-01-20 14:00:00
76,212,rainfall,0.0,2025-11-18 08:00:00
77,290,temperature,32.81,2026-02-25 04:00:00
78,300,soil_moisture,33.94,2025-10-26 04:00:00
79,89,rainfall,38.17,2026-02-28 00:00:00
80,74,temperature,24.07,2025-10-22 11:00:00
81,240,temperature,21.5,2026-04-21 13:00:00
82,210,rainfall,0.0,2025-11-04 21:00:00
83,376,humidity,49.14,2025-09-14 05:00:00
84,226,humidity,40.58,2026-04-22 09:00:00
85,425,temperature,33.18,2025-09-09 15:00:00
86,436,rainfall,0.0,2026-02-12 08:00:00
87,401,temperature,27.41,2025-12-09 04:00:00
88,59,soil_moisture,44.94,2025-12-10 18:00:00
89,82,soil_moisture,35.78,2026-02-20 05:00:00
90,389,humidity,44.85,2026-03-16 07:00:00
91,117,soil_moisture,22.27,2025-08-23 02:00:00
92,442,soil_moisture,49.93,2025-10-14 15:00:00
93,32,temperature,32.0,2025-07-28 11:00:00
94,128,rainfall,0.0,2025-07-09 20:00:00
95,159,humidity,45.36,2025-09-19 08:00:00
96,208,humidity,50.62,2026-01-16 21:00:00
97,142,soil_moisture,33.24,2025-11-16 11:00:00
98,205,rainfall,0.0,2025-12-24 09:00:00
99,296,rainfall,0.0,2025-08-21 13:00:00
100,99,rainfall,45.07,2025-10-08 06:00:00
101,7,temperature,31.69,2025-12-16 20:00:00
102,384,humidity,48.69,2025-08-16 09:00:00
103,196,soil_moisture,42.01,2026-02-15 05:00:00
104,167,rainfall,500.0,2025-12-24 09:00:00
105,77,temperature,22.3,2026-03-27 07:00:00
106,364,temperature,35.37,2025-12-20 14:00:00
107,1,temperature,24.76,2026-02-28 23:00:00
108,71,soil_moisture,49.48,2025-10-02 01:00:00
109,168,soil_moisture,25.19,2026-03-27 17:00:00
110,362,humidity,51.45,2026-04-17 18:00:00
111,381,soil_moisture,44.59,2025-10-24 18:00:00
112,391,soil_moisture,33.45,2025-06-27 10:00:00
113,303,humidity,57.42,2025-08-21 15:00:00
114,73,humidity,68.62,2025-10-07 03:00:00
115,29,humidity,37.17,2026-01-19 00:00:00
116,191,rainfall,45.72,2026-04-06 09:00:00
117,197,humidity,50.09,2026-03-15 15:00:00
118,148,temperature,32.75,2025-12-02 02:00:00
119,238,humidity,73.12,2025-11-26 04:00:00
120,294,humidity,43.9,2026-01-04 07:00:00
121,128,rainfall,0.0,2025-07-10 22:00:00
122,171,humidity,49.6,2026-01-15 20:00:00
123,227,soil_moisture,43.85,2025-10-17 03:00:00
124,238,rainfall,0.0,2025-11-24 23:00:00
125,282,soil_moisture,44.24,2026-01-09 23:00:00
126,148,humidity,61.81,2025-12-02 01:00:00
127,444,soil_moisture,34.13,2025-12-12 20:00:00
128,134,temperature,31.02,2026-01-06 14:00:00
129,340,humidity,47.08,2025-12-25 04:00:00
130,163,temperature,25.3,2025-07-05 08:00:00
131,447,rainfall,0.0,2025-09-19 12:00:00
132,283,humidity,49.27,2026-02-21 14:00:00
133,310,soil_moisture,35.66,2025-12-22 01:00:00
134,77,rainfall,0.0,2026-03-27 06:00:00
135,268,rainfall,55.37,2025-12-23 08:00:00
136,260,rainfall,0.0,2025-09-21 10:00:00
137,376,rainfall,0.0,2025-09-14 06:00:00
138,184,rainfall,0.0,2026-01-06 19:00:00
139,70,rainfall,0.0,2025-12-10 15:00:00
140,403,soil_moisture,41.64,2025-11-05 03:00:00
141,91,humidity,62.42,2026-02-22 15:00:00
142,282,soil_moisture,35.47,2026-01-09 20:00:00
143,210,humidity,56.7,2025-11-05 16:00:00
144,165,soil_moisture,18.46,2025-06-30 09:00:00
145,287,rainfall,49.14,2026-04-04 15:00:00
146,372,temperature,30.53,2025-10-29 14:00:00
147,233,temperature,24.31,2025-12-15 20:00:00
148,18,humidity,50.86,2026-03-16 07:00:00
149,190,temperature,21.87,2026-02-10 16:00:00
150,442,soil_moisture,46.09,2025-10-14 02:00:00
151,287,humidity,62.91,2026-04-03 20:00:00
152,263,humidity,48.59,2025-12-23 09:00:00
153,384,temperature,25.74,2025-08-16 06:00:00
154,229,soil_moisture,38.75,2025-11-12 05:00:00
155,235,humidity,61.66,2026-03-31 19:00:00
156,190,temperature,26.84,2026-02-10 14:00:00
157,91,temperature,20.55,2026-02-23 14:00:00
158,161,soil_moisture,31.22,2026-01-07 08:00:00
159,129,temperature,32.08,2026-04-20 04:00:00
160,193,soil_moisture,35.24,2026-03-19 09:00:00
161,70,humidity,43.82,2025-12-09 01:00:00
162,143,temperature,31.72,2025-08-10 10:00:00
163,446,humidity,51.27,2026-04-20 01:00:00
164,212,humidity,43.63,2025-11-17 05:00:00
165,166,rainfall,0.0,2025-11-29 12:00:00
166,169,rainfall,0.0,2026-03-22 10:00:00
167,311,rainfall,0.0,2025-10-07 15:00:00
168,165,rainfall,30.71,2025-07-01 17:00:00
169,353,humidity,45.18,2026-03-18 06:00:00
170,428,soil_moisture,41.2,2026-01-30 19:00:00
171,402,temperature,28.43,2026-03-28 07:00:00
172,168,temperature,25.15,2026-03-27 03:00:00
173,272,rainfall,0.0,2025-12-02 13:00:00
174,240,temperature,22.41,2026-04-21 14:00:00
175,170,humidity,36.54,2025-07-03 04:00:00
176,260,soil_moisture,30.91,2025-09-21 11:00:00
177,135,temperature,28.87,2025-12-05 06:00:00
178,257,temperature,31.43,2025-07-03 16:00:00
179,219,rainfall,0.0,2025-11-19 01:00:00
180,66,soil_moisture,27.06,2026-01-06 16:00:00
181,240,humidity,68.89,2026-04-21 03:00:00
182,442,rainfall,0.0,2025-10-14 18:00:00
183,113,rainfall,50.64,2025-07-28 16:00:00
184,190,soil_moisture,42.0,2026-02-11 16:00:00
185,148,soil_moisture,46.61,2025-12-03 08:00:00
186,311,temperature,26.43,2025-10-08 04:00:00
187,18,rainfall,0.0,2026-03-15 07:00:00
188,89,temperature,33.67,2026-02-27 04:00:00
189,204,rainfall,0.0,2025-08-24 21:00:00
190,385,temperature,22.89,2026-03-23 12:00:00
191,220,rainfall,23.55,2026-01-29 03:00:00
192,323,soil_moisture,32.23,2025-07-25 13:00:00
193,186,rainfall,0.0,2026-01-27 16:00:00
194,197,humidity,48.15,2026-03-15 11:00:00
195,220,rainfall,0.0,2026-01-30 22:00:00
196,211,temperature,23.81,2026-02-03 11:00:00
197,146,soil_moisture,40.99,2025-08-17 11:00:00
198,327,soil_moisture,34.9,2025-07-29 21:00:00
199,448,rainfall,32.44,2025-12-15 05:00:00
200,166,rainfall,0.0,2025-11-29 07:00:00
201,157,temperature,26.48,2026-01-21 01:00:00
202,424,soil_moisture,29.5,2026-01-05 21:00:00
203,151,temperature,26.73,2026-03-17 20:00:00
204,367,temperature,30.65,2025-11-22 13:00:00
205,382,rainfall,0.0,2025-07-31 17:00:00
206,122,temperature,25.97,2025-12-21 18:00:00
207,427,humidity,60.73,2025-07-10 07:00:00
208,311,humidity,39.35,2025-10-07 23:00:00
209,185,temperature,30.54,2026-03-05 10:00:00
210,78,temperature,31.6,2025-09-25 16:00:00
211,4,soil_moisture,29.36,2026-04-12 18:00:00
212,324,humidity,63.06,2026-01-25 02:00:00
213,277,soil_moisture,33.49,2025-09-11 13:00:00
214,335,humidity,70.71,2025-09-05 05:00:00
215,59,temperature,22.18,2025-12-09 15:00:00
216,190,soil_moisture,38.96,2026-02-09 06:00:00
217,440,soil_moisture,39.5,2025-07-08 19:00:00
218,70,soil_moisture,25.73,2025-12-10 06:00:00
219,154,soil_moisture,31.23,2025-08-20 02:00:00
220,28,rainfall,0.0,2025-07-10 10:00:00
221,50,soil_moisture,29.15,2026-03-09 17:00:00
222,309,temperature,22.48,2026-04-08 03:00:00
223,7,humidity,56.13,2025-12-17 00:00:00
224,146,rainfall,28.58,2025-08-15 09:00:00
225,205,soil_moisture,41.29,2025-12-25 08:00:00
226,185,humidity,47.94,2026-03-05 09:00:00
227,190,soil_moisture,36.9,2026-02-10 14:00:00
228,94,soil_moisture,31.63,2025-09-28 07:00:00
229,238,temperature,28.42,2025-11-24 16:00:00
230,105,temperature,22.72,2026-01-28 06:00:00
231,327,humidity,60.2,2025-07-28 12:00:00
232,135,soil_moisture,42.51,2025-12-06 20:00:00
233,324,soil_moisture,20.02,2026-01-25 07:00:00
234,65,temperature,27.05,2025-07-09 21:00:00
235,323,humidity,58.15,2025-07-25 13:00:00
236,306,humidity,82.37,2025-12-29 12:00:00
237,60,soil_moisture,33.74,2026-03-06 07:00:00
238,342,humidity,66.31,2026-03-28 12:00:00
239,283,temperature,26.82,2026-02-22 17:00:00
240,59,rainfall,0.0,2025-12-09 11:00:00
241,91,temperature,22.04,2026-02-23 06:00:00
242,91,humidity,69.58,2026-02-22 01:00:00
243,298,temperature,28.67,2025-09-13 16:00:00
244,196,rainfall,46.09,2026-02-16 03:00:00
245,288,soil_moisture,33.96,2025-07-08 07:00:00
246,7,humidity,64.43,2025-12-16 19:00:00
247,367,humidity,53.37,2025-11-23 01:00:00
248,238,humidity,77.08,2025-11-25 16:00:00
249,55,humidity,66.78,2025-09-01 01:00:00
250,9,rainfall,0.0,2025-09-19 10:00:00
251,353,humidity,50.61,2026-03-18 19:00:00
252,166,soil_moisture,25.9,2025-12-01 04:00:00
253,424,humidity,34.76,2026-01-05 19:00:00
254,186,rainfall,0.0,2026-01-27 09:00:00
255,159,rainfall,0.0,2025-09-19 12:00:00
256,268,temperature,26.4,2025-12-24 11:00:00
257,167,soil_moisture,43.24,2025-12-24 01:00:00
258,99,soil_moisture,26.97,2025-10-10 14:00:00
259,142,temperature,32.2,2025-11-17 08:00:00
260,222,humidity,69.17,2025-10-15 23:00:00
261,191,rainfall,0.0,2026-04-08 00:00:00
262,43,humidity,57.62,2025-09-12 08:00:00
263,171,temperature,28.63,2026-01-16 20:00:00
264,123,temperature,28.81,2025-11-16 20:00:00
265,46,rainfall,44.87,2025-09-19 16:00:00
266,114,humidity,44.29,2026-04-19 18:00:00
267,29,rainfall,0.0,2026-01-20 01:00:00
268,235,temperature,30.11,2026-03-31 16:00:00
269,425,temperature,37.84,2025-09-08 11:00:00
270,396,rainfall,0.0,2025-07-05 15:00:00
271,283,soil_moisture,39.34,2026-02-21 17:00:00
272,65,temperature,26.13,2025-07-09 22:00:00
273,168,soil_moisture,27.5,2026-03-28 08:00:00
274,117,soil_moisture,23.58,2025-08-21 07:00:00
275,208,soil_moisture,22.78,2026-01-16 00:00:00
276,396,temperature,30.67,2025-07-05 01:00:00
277,30,temperature,22.48,2025-08-20 09:00:00
278,125,humidity,47.86,2025-11-21 20:00:00
279,142,humidity,70.08,2025-11-16 23:00:00
280,147,humidity,70.31,2026-03-08 07:00:00
281,303,soil_moisture,29.3,2025-08-23 06:00:00
282,277,humidity,72.22,2025-09-12 03:00:00
283,386,soil_moisture,40.51,2026-04-07 02:00:00
284,61,temperature,28.15,2026-02-06 03:00:00
285,238,soil_moisture,27.52,2025-11-24 04:00:00
286,160,temperature,34.86,2026-04-15 09:00:00
287,401,soil_moisture,29.35,2025-12-10 18:00:00
288,215,humidity,33.97,2026-03-14 20:00:00
289,384,humidity,50.41,2025-08-17 06:00:00
290,74,temperature,26.47,2025-10-23 15:00:00
291,288,temperature,27.53,2025-07-06 10:00:00
292,300,soil_moisture,35.15,2025-10-26 23:00:00
293,169,rainfall,0.0,2026-03-24 02:00:00
294,212,temperature,27.14,2025-11-17 16:00:00
295,143,rainfall,0.0,2025-08-12 16:00:00
296,384,humidity,49.09,2025-08-18 00:00:00
297,186,soil_moisture,40.9,2026-01-28 12:00:00
298,327,soil_moisture,43.89,2025-07-30 11:00:00
299,310,soil_moisture,30.86,2025-12-23 12:00:00
300,32,soil_moisture,38.48,2025-07-26 22:00:00
301,103,humidity,47.78,2026-01-08 20:00:00
302,229,temperature,24.88,2025-11-12 19:00:00
303,311,soil_moisture,38.93,2025-10-07 16:00:00
304,18,soil_moisture,34.97,2026-03-15 14:00:00
305,240,rainfall,0.0,2026-04-22 11:00:00
306,30,humidity,62.16,2025-08-19 20:00:00
307,18,soil_moisture,35.48,2026-03-16 03:00:00
308,303,rainfall,0.0,2025-08-21 01:00:00
309,73,humidity,76.02,2025-10-08 18:00:00
310,356,humidity,75.97,2025-12-12 11:00:00
311,113,temperature,28.04,2025-07-27 16:00:00
312,342,soil_moisture,23.4,2026-03-29 23:00:00
313,425,rainfall,0.0,2025-09-09 20:00:00
314,36,rainfall,48.59,2026-03-20 11:00:00
315,90,soil_moisture,43.86,2025-08-19 08:00:00
316,424,soil_moisture,31.64,2026-01-06 07:00:00
317,220,soil_moisture,25.73,2026-01-31 06:00:00
318,327,humidity,63.3,2025-07-28 03:00:00
319,147,rainfall,0.0,2026-03-09 23:00:00
320,335,temperature,26.84,2025-09-04 11:00:00
321,146,soil_moisture,45.79,2025-08-15 18:00:00
322,148,rainfall,0.0,2025-12-03 13:00:00
323,282,rainfall,0.0,2026-01-09 04:00:00
324,205,soil_moisture,44.95,2025-12-24 19:00:00
325,351,humidity,46.18,2026-02-12 12:00:00
326,318,temperature,30.35,2026-04-06 01:00:00
327,343,temperature,21.8,2026-01-13 17:00:00
328,285,humidity,52.52,2025-09-05 06:00:00
329,318,rainfall,29.48,2026-04-04 13:00:00
330,309,rainfall,0.0,2026-04-09 05:00:00
331,193,rainfall,0.0,2026-03-19 21:00:00
332,389,humidity,40.49,2026-03-16 20:00:00
333,1,soil_moisture,27.4,2026-03-01 03:00:00
334,440,rainfall,0.0,2025-07-09 16:00:00
335,385,humidity,49.25,2026-03-24 02:00:00
336,190,soil_moisture,36.69,2026-02-11 06:00:00
337,294,temperature,28.07,2026-01-03 03:00:00
338,288,temperature,23.91,2025-07-07 07:00:00
339,32,humidity,72.18,2025-07-26 04:00:00
340,326,temperature,23.15,2026-03-27 09:00:00
341,114,temperature,19.22,2026-04-19 19:00:00
342,288,humidity,68.7,2025-07-07 15:00:00
343,48,soil_moisture,48.75,2025-12-30 14:00:00
344,229,temperature,29.29,2025-11-13 13:00:00
345,238,temperature,26.48,2025-11-25 03:00:00
346,1,humidity,61.93,2026-02-28 09:00:00
347,370,humidity,49.57,2025-07-10 00:00:00
348,318,soil_moisture,41.48,2026-04-05 05:00:00
349,413,soil_moisture,41.3,2026-01-13 04:00:00
350,421,humidity,45.95,2025-07-13 03:00:00
351,157,rainfall,0.0,2026-01-20 08:00:00
352,140,rainfall,0.0,2025-09-12 04:00:00
353,212,humidity,44.28,2025-11-16 10:00:00
354,303,temperature,35.41,2025-08-22 07:00:00
355,180,rainfall,0.0,2025-12-26 12:00:00
356,442,soil_moisture,44.51,2025-10-14 13:00:00
357,418,soil_moisture,38.97,2025-09-06 03:00:00
358,133,soil_moisture,32.46,2025-07-03 01:00:00
359,210,humidity,62.62,2025-11-04 01:00:00
360,17,humidity,42.78,2025-07-19 02:00:00
361,193,humidity,43.65,2026-03-18 16:00:00
362,143,rainfall,0.0,2025-08-10 03:00:00
363,113,humidity,57.31,2025-07-29 01:00:00
364,36,rainfall,0.0,2026-03-19 10:00:00
365,142,soil_moisture,37.92,2025-11-15 18:00:00
366,340,rainfall,0.0,2025-12-25 11:00:00
367,449,rainfall,0.0,2025-09-15 11:00:00
368,321,temperature,24.2,2025-09-11 11:00:00
369,137,humidity,57.26,2026-03-13 22:00:00
370,147,soil_moisture,23.98,2026-03-08 10:00:00
371,402,soil_moisture,28.41,2026-03-30 02:00:00
372,342,humidity,72.48,2026-03-29 12:00:00
373,240,humidity,60.49,2026-04-23 13:00:00
374,448,soil_moisture,34.84,2025-12-15 18:00:00
375,368,soil_moisture,27.05,2026-03-04 13:00:00
376,177,temperature,18.83,2026-03-12 12:00:00
377,129,humidity,40.88,2026-04-21 07:00:00
378,36,humidity,53.29,2026-03-19 11:00:00
379,70,temperature,29.02,2025-12-09 10:00:00
380,385,temperature,19.98,2026-03-23 22:00:00
381,161,rainfall,37.04,2026-01-07 08:00:00
382,166,temperature,32.54,2025-12-01 10:00:00
383,367,soil_moisture,45.8,2025-11-22 20:00:00
384,421,soil_moisture,30.31,2025-07-11 19:00:00
385,117,humidity,41.59,2025-08-23 00:00:00
386,255,rainfall,0.0,2025-11-03 13:00:00
387,257,humidity,64.54,2025-07-04 03:00:00
388,28,soil_moisture,33.53,2025-07-09 10:00:00
389,226,soil_moisture,30.8,2026-04-21 09:00:00
390,287,soil_moisture,41.61,2026-04-04 03:00:00
391,335,soil_moisture,41.11,2025-09-04 03:00:00
392,9,soil_moisture,38.05,2025-09-20 23:00:00
393,341,humidity,53.98,2025-11-25 06:00:00
394,296,soil_moisture,43.65,2025-08-22 12:00:00
395,168,soil_moisture,26.86,2026-03-28 18:00:00
396,431,humidity,70.51,2025-07-02 18:00:00
397,103,rainfall,0.0,2026-01-09 02:00:00
398,185,soil_moisture,35.53,2026-03-04 22:00:00
399,43,soil_moisture,39.03,2025-09-13 18:00:00
400,362,rainfall,0.0,2026-04-18 06:00:00
401,318,soil_moisture,43.3,2026-04-06 05:00:00
402,370,humidity,51.82,2025-07-08 19:00:00
403,376,soil_moisture,41.47,2025-09-14 12:00:00
404,324,rainfall,39.81,2026-01-27 08:00:00
405,436,rainfall,25.92,2026-02-11 17:00:00
406,45,temperature,20.13,2026-02-08 03:00:00
407,293,temperature,19.91,2026-02-09 20:00:00
408,283,soil_moisture,43.17,2026-02-21 06:00:00
409,66,soil_moisture,29.65,2026-01-06 11:00:00
410,170,humidity,36.67,2025-07-04 22:00:00
411,44,rainfall,58.44,2025-10-07 13:00:00
412,208,humidity,56.75,2026-01-17 01:00:00
413,201,soil_moisture,21.64,2026-03-31 10:00:00
414,65,humidity,66.58,2025-07-09 02:00:00
415,341,soil_moisture,40.41,2025-11-26 17:00:00
416,1,humidity,63.32,2026-03-01 11:00:00
417,154,soil_moisture,34.84,2025-08-20 01:00:00
418,330,rainfall,59.31,2025-10-03 01:00:00
419,71,temperature,30.79,2025-10-02 00:00:00
420,255,soil_moisture,40.93,2025-11-02 02:00:00
421,134,rainfall,63.02,2026-01-07 01:00:00
422,168,soil_moisture,25.72,2026-03-29 07:00:00
423,294,rainfall,0.0,2026-01-05 06:00:00
424,346,humidity,71.48,2025-09-24 03:00:00
425,45,temperature,23.04,2026-02-08 15:00:00
426,113,temperature,29.67,2025-07-27 23:00:00
427,148,humidity,57.03,2025-12-02 18:00:00
428,368,temperature,22.99,2026-03-05 15:00:00
429,421,temperature,26.33,2025-07-12 08:00:00
430,354,temperature,30.7,2026-03-07 04:00:00
431,208,temperature,26.67,2026-01-15 11:00:00
432,13,temperature,25.88,2025-11-01 19:00:00
433,361,temperature,22.18,2025-10-19 21:00:00
434,18,soil_moisture,34.51,2026-03-16 02:00:00
435,177,humidity,49.63,2026-03-13 16:00:00
436,447,humidity,56.96,2025-09-20 05:00:00
437,18,rainfall,0.0,2026-03-15 22:00:00
438,326,soil_moisture,22.75,2026-03-26 17:00:00
439,272,rainfall,0.0,2025-12-02 20:00:00
440,204,soil_moisture,37.94,2025-08-23 10:00:00
441,255,humidity,52.24,2025-11-03 18:00:00
442,330,rainfall,0.0,2025-10-02 18:00:00
443,298,soil_moisture,38.42,2025-09-12 06:00:00
444,71,rainfall,0.0,2025-10-02 04:00:00
445,143,soil_moisture,42.88,2025-08-11 18:00:00
446,32,soil_moisture,37.15,2025-07-28 06:00:00
447,294,soil_moisture,16.48,2026-01-04 00:00:00
448,10,temperature,25.06,2026-03-29 21:00:00
449,385,humidity,45.72,2026-03-22 14:00:00
450,326,humidity,53.04,2026-03-27 06:00:00
451,233,rainfall,0.0,2025-12-16 03:00:00
452,294,temperature,30.45,2026-01-04 16:00:00
453,389,temperature,30.43,2026-03-17 00:00:00
454,371,rainfall,0.0,2026-03-31 16:00:00
455,327,temperature,24.27,2025-07-29 07:00:00
456,448,humidity,81.29,2025-12-14 05:00:00
457,260,humidity,65.94,2025-09-23 01:00:00
458,7,humidity,58.12,2025-12-15 19:00:00
459,61,rainfall,13.87,2026-02-05 17:00:00
460,449,humidity,74.11,2025-09-15 21:00:00
461,381,humidity,46.8,2025-10-25 16:00:00
462,424,soil_moisture,22.69,2026-01-06 03:00:00
463,122,rainfall,0.0,2025-12-23 04:00:00
464,90,humidity,65.7,2025-08-19 21:00:00
465,6,rainfall,28.73,2025-08-12 07:00:00
466,24,temperature,25.02,2026-03-06 07:00:00
467,32,temperature,32.21,2025-07-26 22:00:00
468,353,humidity,45.04,2026-03-19 04:00:00
469,389,temperature,31.94,2026-03-16 02:00:00
470,4,temperature,28.61,2026-04-12 17:00:00
471,418,temperature,33.02,2025-09-05 16:00:00
472,159,soil_moisture,24.05,2025-09-21 13:00:00
473,74,rainfall,0.0,2025-10-22 03:00:00
474,424,humidity,35.33,2026-01-06 19:00:00
475,330,rainfall,59.14,2025-10-03 03:00:00
476,385,humidity,47.1,2026-03-24 11:00:00
477,371,humidity,63.61,2026-03-30 04:00:00
478,55,soil_moisture,30.7,2025-08-31 10:00:00
479,448,rainfall,0.0,2025-12-13 13:00:00
480,45,soil_moisture,23.4,2026-02-09 20:00:00
481,341,temperature,35.33,2025-11-24 08:00:00
482,50,rainfall,0.0,2026-03-09 01:00:00
483,170,rainfall,0.0,2025-07-03 19:00:00
484,300,temperature,26.24,2025-10-26 23:00:00
485,122,rainfall,0.0,2025-12-21 15:00:00
486,212,humidity,44.79,2025-11-17 00:00:00
487,427,soil_moisture,31.66,2025-07-12 04:00:00
488,311,rainfall,44.85,2025-10-09 13:00:00
489,219,rainfall,0.0,2025-11-20 06:00:00
490,24,soil_moisture,41.83,2026-03-04 15:00:00
491,159,humidity,43.15,2025-09-20 21:00:00
492,1,soil_moisture,34.34,2026-02-28 21:00:00
493,129,soil_moisture,26.17,2026-04-19 03:00:00
494,356,rainfall,43.1,2025-12-13 19:00:00
495,411,soil_moisture,38.91,2025-08-24 22:00:00
496,151,humidity,50.93,2026-03-16 04:00:00
497,76,soil_moisture,25.31,2026-04-16 11:00:00
498,184,humidity,39.11,2026-01-06 01:00:00
499,115,rainfall,0.0,2025-10-26 19:00:00
500,47,temperature,35.29,2025-10-04 03:00:00
501,446,rainfall,49.62,2026-04-21 20:00:00
502,212,soil_moisture,45.55,2025-11-17 14:00:00
503,212,rainfall,0.0,2025-11-18 17:00:00
504,1,rainfall,0.0,2026-03-01 22:00:00
505,287,temperature,21.07,2026-04-03 17:00:00
506,24,humidity,49.28,2026-03-04 09:00:00
507,295,rainfall,0.0,2026-04-10 20:00:00
508,436,humidity,70.44,2026-02-11 15:00:00
509,55,rainfall,34.15,2025-08-31 01:00:00
510,290,rainfall,0.0,2026-02-26 23:00:00
511,30,soil_moisture,36.47,2025-08-19 22:00:00
512,335,rainfall,0.0,2025-09-05 01:00:00
513,368,temperature,23.13,2026-03-04 11:00:00
514,343,temperature,29.62,2026-01-13 19:00:00
515,411,rainfall,0.0,2025-08-24 21:00:00
516,431,temperature,30.32,2025-07-02 17:00:00
517,143,soil_moisture,37.37,2025-08-11 09:00:00
518,255,temperature,26.16,2025-11-04 06:00:00
519,48,humidity,28.15,2025-12-31 01:00:00
520,136,rainfall,33.27,2025-11-10 22:00:00
521,146,rainfall,0.0,2025-08-15 11:00:00
522,446,rainfall,0.0,2026-04-21 15:00:00
523,82,soil_moisture,40.38,2026-02-21 15:00:00
524,447,rainfall,0.0,2025-09-19 13:00:00
525,53,humidity,52.66,2026-03-03 11:00:00
526,440,soil_moisture,42.48,2025-07-09 09:00:00
527,418,humidity,45.46,2025-09-07 04:00:00
528,184,rainfall,0.0,2026-01-05 18:00:00
529,186,temperature,25.62,2026-01-27 16:00:00
530,353,rainfall,0.0,2026-03-19 15:00:00
531,136,soil_moisture,28.92,2025-11-10 03:00:00
532,133,temperature,23.23,2025-07-02 03:00:00
533,73,temperature,35.22,2025-10-07 23:00:00
534,364,rainfall,0.0,2025-12-20 21:00:00
535,32,rainfall,0.0,2025-07-28 11:00:00
